 time            time            v(gate_rc)      id             
 6.84061745e-12  6.84061745e-12  5.74822101e-01  2.71087093e-03 
 6.96755957e-12  6.96755957e-12  5.80687171e-01  2.81216119e-03 
 7.09624315e-12  7.09624315e-12  5.86557881e-01  2.91388026e-03 
 7.22655881e-12  7.22655881e-12  5.92428062e-01  3.01587862e-03 
 7.35859060e-12  7.35859060e-12  5.98300353e-01  3.11816283e-03 
 7.49226297e-12  7.49226297e-12  6.04170254e-01  3.22061854e-03 
 7.62764073e-12  7.62764073e-12  6.10039498e-01  3.32324308e-03 
 7.76467301e-12  7.76467301e-12  6.15904773e-01  3.42594856e-03 
 7.90341061e-12  7.90341061e-12  6.21767171e-01  3.52872678e-03 
 8.04382045e-12  8.04382045e-12  6.27624215e-01  3.63150959e-03 
 8.18594300e-12  8.18594300e-12  6.33476537e-01  3.73428559e-03 
 8.32975778e-12  8.32975778e-12  6.39322243e-01  3.83700123e-03 
 8.47529747e-12  8.47529747e-12  6.45161626e-01  3.93964331e-03 
 8.62255038e-12  8.62255038e-12  6.50993192e-01  4.04216899e-03 
 8.77154314e-12  8.77154314e-12  6.56816982e-01  4.14456405e-03 
 8.92226998e-12  8.92226998e-12  6.62631767e-01  4.24679346e-03 
 9.07475270e-12  9.07475270e-12  6.68437394e-01  4.34884244e-03 
 9.22898944e-12  9.22898944e-12  6.74232810e-01  4.45068158e-03 
 9.38499803e-12  9.38499803e-12  6.80017711e-01  4.55229583e-03 
 9.54277900e-12  9.54277900e-12  6.85791153e-01  4.65365984e-03 
 9.70234692e-12  9.70234692e-12  6.91552715e-01  4.75475838e-03 
 9.86370360e-12  9.86370360e-12  6.97301519e-01  4.85556902e-03 
 1.00268609e-11  1.00268609e-11  7.03037049e-01  4.95607649e-03 
 1.01918211e-11  1.01918211e-11  7.08758466e-01  5.05626048e-03 
 1.03585938e-11  1.03585938e-11  7.14465182e-01  5.15610574e-03 
 1.05271816e-11  1.05271816e-11  7.20156377e-01  5.25559354e-03 
 1.06975919e-11  1.06975919e-11  7.25831411e-01  5.35470875e-03 
 1.08698272e-11  1.08698272e-11  7.31489474e-01  5.45343387e-03 
 1.10438935e-11  1.10438935e-11  7.37129887e-01  5.55175398e-03 
 1.12197929e-11  1.12197929e-11  7.42751850e-01  5.64965257e-03 
 1.13975301e-11  1.13975301e-11  7.48354657e-01  5.74711505e-03 
 1.15771071e-11  1.15771071e-11  7.53937519e-01  5.84412578e-03 
 1.17585275e-11  1.17585275e-11  7.59499715e-01  5.94067058e-03 
 1.19417932e-11  1.19417932e-11  7.65040469e-01  6.03673463e-03 
 1.21269071e-11  1.21269071e-11  7.70559057e-01  6.13230424e-03 
 1.23119406e-11  1.23119406e-11  7.75998368e-01  6.22639131e-03 
 1.24928597e-11  1.24928597e-11  7.81243816e-01  6.31702012e-03 
 1.26724037e-11  1.26724037e-11  7.86379428e-01  6.40564949e-03 
 1.28468968e-11  1.28468968e-11  7.91304972e-01  6.49055772e-03 
 1.30208429e-11  1.30208429e-11  7.96151839e-01  6.57401655e-03 
 1.31900463e-11  1.31900463e-11  8.00806986e-01  6.65408629e-03 
 1.33595869e-11  1.33595869e-11  8.05413466e-01  6.73323297e-03 
 1.35246020e-11  1.35246020e-11  8.09842167e-01  6.80924380e-03 
 1.36904559e-11  1.36904559e-11  8.14239746e-01  6.88464061e-03 
 1.38519036e-11  1.38519036e-11  8.18469628e-01  6.95708660e-03 
 1.40143930e-11  1.40143930e-11  8.22676897e-01  7.02907082e-03 
 1.41727518e-11  1.41727518e-11  8.26729741e-01  7.09834225e-03 
 1.43321769e-11  1.43321769e-11  8.30763217e-01  7.16721308e-03 
 1.44876918e-11  1.44876918e-11  8.34653289e-01  7.23356921e-03 
 1.46442694e-11  1.46442694e-11  8.38526187e-01  7.29956728e-03 
 1.47972000e-11  1.47972000e-11  8.42267066e-01  7.36325359e-03 
 1.49511127e-11  1.49511127e-11  8.45990805e-01  7.42658709e-03 
 1.51016674e-11  1.51016674e-11  8.49593871e-01  7.48780991e-03 
 1.52535914e-11  1.52535914e-11  8.53190694e-01  7.54886904e-03 
 1.54037947e-11  1.54037947e-11  8.56708737e-01  7.60853486e-03 
 1.55556243e-11  1.55556243e-11  8.60226923e-01  7.66814735e-03 
 1.57061268e-11  1.57061268e-11  8.63677172e-01  7.72655433e-03 
 1.58581139e-11  1.58581139e-11  8.67124357e-01  7.78485530e-03 
 1.60089594e-11  1.60089594e-11  8.70509243e-01  7.84204969e-03 
 1.61611229e-11  1.61611229e-11  8.73887410e-01  7.89907794e-03 
 1.63123420e-11  1.63123420e-11  8.77208944e-01  7.95509864e-03 
 1.64647420e-11  1.64647420e-11  8.80520881e-01  8.01090635e-03 
 1.66163975e-11  1.66163975e-11  8.83781655e-01  8.06580183e-03 
 1.67691132e-11  1.67691132e-11  8.87030387e-01  8.12044483e-03 
 1.69212688e-11  1.69212688e-11  8.90232854e-01  8.17426085e-03 
 1.70743756e-11  1.70743756e-11  8.93421152e-01  8.22779036e-03 
 1.72270866e-11  1.72270866e-11  8.96567451e-01  8.28056715e-03 
 1.73806534e-11  1.73806534e-11  8.99697788e-01  8.33302906e-03 
 1.75339689e-11  1.75339689e-11  9.02789795e-01  8.38480223e-03 
 1.76880588e-11  1.76880588e-11  9.05864389e-01  8.43623790e-03 
 1.78420228e-11  1.78420228e-11  9.08903783e-01  8.48703950e-03 
 1.79966941e-11  1.79966941e-11  9.11924631e-01  8.53748633e-03 
