 v-sweep         v(drain_iv)     v(gate_iv)      id              is              ib              ig              kcl_error      
 6.00000000e-01  6.00000000e-01  7.00000000e-01 -5.54235411e-03  5.54235792e-03  9.49932393e-11 -3.90468880e-09  3.03614434e-19 
 7.00000000e-01  7.00000000e-01  7.00000000e-01 -5.83044214e-03  5.83044599e-03  1.15098827e-10 -3.96302863e-09  2.16586203e-18 
 8.00000000e-01  8.00000000e-01  7.00000000e-01 -6.11718115e-03  6.11718504e-03  1.38524290e-10 -4.02374181e-09  1.46535837e-18 
 9.00000000e-01  9.00000000e-01  7.00000000e-01 -6.40444211e-03  6.40444601e-03  1.65814189e-10 -4.06581188e-09  2.38602755e-19 
 1.00000000e+00  1.00000000e+00  7.00000000e-01 -6.69442735e-03  6.69443122e-03  1.97614797e-10 -4.07362438e-09  3.86093003e-18 
 1.10000000e+00  1.10000000e+00  7.00000000e-01 -6.99070698e-03  6.99071077e-03  2.34690671e-10 -4.02378172e-09  1.57322665e-18 
 1.20000000e+00  1.20000000e+00  7.00000000e-01 -7.29880187e-03  7.29880510e-03  6.55075278e-10 -3.88175798e-09  3.22088166e-18 
 0.00000000e+00  0.00000000e+00  8.00000000e-01  4.47282389e-09  4.47282389e-09  1.59193587e-10 -9.10484137e-09  5.39580693e-19 
 1.00000000e-01  1.00000000e-01  8.00000000e-01 -3.06393332e-03  3.06394129e-03  1.90117771e-10 -8.16221090e-09  4.88387725e-19 
 2.00000000e-01  2.00000000e-01  8.00000000e-01 -5.01456696e-03  5.01457429e-03  2.27463529e-10 -7.55439059e-09  2.63785312e-20 
 3.00000000e-01  3.00000000e-01  8.00000000e-01 -5.99581065e-03  5.99581761e-03  2.73368274e-10 -7.23401596e-09  2.80250394e-19 
 4.00000000e-01  4.00000000e-01  8.00000000e-01 -6.47534866e-03  6.47535546e-03  3.29220392e-10 -7.12631635e-09  2.17557900e-18 
 5.00000000e-01  5.00000000e-01  8.00000000e-01 -6.82898540e-03  6.82899215e-03  3.95693679e-10 -7.14215156e-09  3.10016881e-18 
 6.00000000e-01  6.00000000e-01  8.00000000e-01 -7.14839344e-03  7.14840020e-03  4.74305582e-10 -7.23643311e-09  9.12573673e-19 
