 v-sweep         v(vdd_therm)    v(gate_therm)   id_therm        power           efficiency     
 6.00000000e-01  6.00000000e-01  7.00000000e-01 -5.81729156e-04 -3.49037494e-04 -3.04514065e-02 
 7.00000000e-01  7.00000000e-01  7.00000000e-01 -6.78532154e-04 -4.74972508e-04 -3.06683514e-02 
 8.00000000e-01  8.00000000e-01  7.00000000e-01 -7.75287366e-04 -6.20229893e-04 -3.08907921e-02 
 9.00000000e-01  9.00000000e-01  7.00000000e-01 -8.71992936e-04 -7.84793643e-04 -3.11189596e-02 
 1.00000000e+00  1.00000000e+00  7.00000000e-01 -9.68646892e-04 -9.68646892e-04 -3.13531076e-02 
 1.10000000e+00  1.10000000e+00  7.00000000e-01 -1.06524714e-03 -1.17177185e-03 -3.15935134e-02 
 1.20000000e+00  1.20000000e+00  7.00000000e-01 -1.16179142e-03 -1.39414971e-03 -3.18404800e-02 
 0.00000000e+00  0.00000000e+00  8.00000000e-01  1.18438766e-10  0.00000000e+00  1.40277412e-02 
 1.00000000e-01  1.00000000e-01  8.00000000e-01 -9.73398516e-05 -9.73398516e-06 -2.66014841e-02 
 2.00000000e-01  2.00000000e-01  8.00000000e-01 -1.94655293e-04 -3.89310586e-05 -2.67235356e-02 
 3.00000000e-01  3.00000000e-01  8.00000000e-01 -2.91945596e-04 -8.75836788e-05 -2.68480134e-02 
 4.00000000e-01  4.00000000e-01  8.00000000e-01 -3.89210137e-04 -1.55684055e-04 -2.69746587e-02 
 5.00000000e-01  5.00000000e-01  8.00000000e-01 -4.86448270e-04 -2.43224135e-04 -2.71034596e-02 
 6.00000000e-01  6.00000000e-01  8.00000000e-01 -5.83659332e-04 -3.50195599e-04 -2.72344470e-02 
 7.00000000e-01  7.00000000e-01  8.00000000e-01 -6.80842633e-04 -4.76589843e-04 -2.73676676e-02 
 8.00000000e-01  8.00000000e-01  8.00000000e-01 -7.77997459e-04 -6.22397967e-04 -2.75031760e-02 
 9.00000000e-01  9.00000000e-01  8.00000000e-01 -8.75123070e-04 -7.87610763e-04 -2.76410330e-02 
 1.00000000e+00  1.00000000e+00  8.00000000e-01 -9.72218695e-04 -9.72218695e-04 -2.77813045e-02 
 1.10000000e+00  1.10000000e+00  8.00000000e-01 -1.06928353e-03 -1.17621189e-03 -2.79240614e-02 
 1.20000000e+00  1.20000000e+00  8.00000000e-01 -1.16631674e-03 -1.39958009e-03 -2.80693795e-02 
 0.00000000e+00  0.00000000e+00  9.00000000e-01  1.84246434e-10  0.00000000e+00  3.39467483e-02 
 1.00000000e-01  1.00000000e-01  9.00000000e-01 -9.75018755e-05 -9.75018755e-06 -2.49812452e-02 
 2.00000000e-01  2.00000000e-01  9.00000000e-01 -1.94986188e-04 -3.89972375e-05 -2.50690615e-02 
 3.00000000e-01  3.00000000e-01  9.00000000e-01 -2.92452421e-04 -8.77357262e-05 -2.51585973e-02 
 4.00000000e-01  4.00000000e-01  9.00000000e-01 -3.89900236e-04 -1.55960095e-04 -2.52494088e-02 
 5.00000000e-01  5.00000000e-01  9.00000000e-01 -4.87329288e-04 -2.43664644e-04 -2.53414242e-02 
 6.00000000e-01  6.00000000e-01  9.00000000e-01 -5.84739219e-04 -3.50843532e-04 -2.54346344e-02 
 7.00000000e-01  7.00000000e-01  9.00000000e-01 -6.82129666e-04 -4.77490766e-04 -2.55290490e-02 
 8.00000000e-01  8.00000000e-01  9.00000000e-01 -7.79500252e-04 -6.23600201e-04 -2.56246852e-02 
 9.00000000e-01  9.00000000e-01  9.00000000e-01 -8.76850592e-04 -7.89165533e-04 -2.57215644e-02 
 1.00000000e+00  1.00000000e+00  9.00000000e-01 -9.74180289e-04 -9.74180289e-04 -2.58197109e-02 
 1.10000000e+00  1.10000000e+00  9.00000000e-01 -1.07148893e-03 -1.17863783e-03 -2.59191510e-02 
 1.20000000e+00  1.20000000e+00  9.00000000e-01 -1.16877610e-03 -1.40253133e-03 -2.60199127e-02 
 0.00000000e+00  0.00000000e+00  1.00000000e+00  2.80672487e-10  0.00000000e+00  7.87770452e-02 
 1.00000000e-01  1.00000000e-01  1.00000000e+00 -9.76048418e-05 -9.76048418e-06 -2.39515822e-02 
 2.00000000e-01  2.00000000e-01  1.00000000e+00 -1.95196136e-04 -3.90392273e-05 -2.40193176e-02 
 3.00000000e-01  3.00000000e-01  1.00000000e+00 -2.92773397e-04 -8.78320192e-05 -2.40886751e-02 
 4.00000000e-01  4.00000000e-01  1.00000000e+00 -3.90336415e-04 -1.56134566e-04 -2.41589621e-02 
 5.00000000e-01  5.00000000e-01  1.00000000e+00 -4.87884976e-04 -2.43942488e-04 -2.42300490e-02 
 6.00000000e-01  6.00000000e-01  1.00000000e+00 -5.85418860e-04 -3.51251316e-04 -2.43019000e-02 
 7.00000000e-01  7.00000000e-01  1.00000000e+00 -6.82937845e-04 -4.78056492e-04 -2.43745068e-02 
 8.00000000e-01  8.00000000e-01  1.00000000e+00 -7.80441703e-04 -6.24353363e-04 -2.44478711e-02 
 9.00000000e-01  9.00000000e-01  1.00000000e+00 -8.77930200e-04 -7.90137180e-04 -2.45219999e-02 
 1.00000000e+00  1.00000000e+00  1.00000000e+00 -9.75403097e-04 -9.75403097e-04 -2.45969028e-02 
 1.10000000e+00  1.10000000e+00  1.00000000e+00 -1.07286015e-03 -1.18014616e-03 -2.46725910e-02 
 1.20000000e+00  1.20000000e+00  1.00000000e+00 -1.17030111e-03 -1.40436133e-03 -2.47490770e-02 
 0.00000000e+00  0.00000000e+00  1.10000000e+00  4.19384959e-10  0.00000000e+00  1.75883744e-01 
 1.00000000e-01  1.00000000e-01  1.10000000e+00 -9.76748585e-05 -9.76748585e-06 -2.32514146e-02 
 2.00000000e-01  2.00000000e-01  1.10000000e+00 -1.95338831e-04 -3.90677663e-05 -2.33058429e-02 
 3.00000000e-01  3.00000000e-01  1.10000000e+00 -2.92991360e-04 -8.78974079e-05 -2.33621348e-02 
 4.00000000e-01  4.00000000e-01  1.10000000e+00 -3.90632301e-04 -1.56252920e-04 -2.34192472e-02 
 5.00000000e-01  5.00000000e-01  1.10000000e+00 -4.88261512e-04 -2.44130756e-04 -2.34769769e-02 
 6.00000000e-01  6.00000000e-01  1.10000000e+00 -5.85878844e-04 -3.51527306e-04 -2.35352604e-02 
 7.00000000e-01  7.00000000e-01  1.10000000e+00 -6.83484148e-04 -4.78438904e-04 -2.35940745e-02 
 8.00000000e-01  8.00000000e-01  1.10000000e+00 -7.81077271e-04 -6.24861817e-04 -2.36534110e-02 
 9.00000000e-01  9.00000000e-01  1.10000000e+00 -8.78658058e-04 -7.90792252e-04 -2.37132687e-02 
 1.00000000e+00  1.00000000e+00  1.10000000e+00 -9.76226350e-04 -9.76226350e-04 -2.37736498e-02 
 1.10000000e+00  1.10000000e+00  1.10000000e+00 -1.07378199e-03 -1.18116018e-03 -2.38345587e-02 
 1.20000000e+00  1.20000000e+00  1.10000000e+00 -1.17132480e-03 -1.40558976e-03 -2.38960011e-02 
 0.00000000e+00  0.00000000e+00  1.20000000e+00  6.16089635e-10  0.00000000e+00  3.79566439e-01 
 1.00000000e-01  1.00000000e-01  1.20000000e+00 -9.77246112e-05 -9.77246112e-06 -2.27538879e-02 
 2.00000000e-01  2.00000000e-01  1.20000000e+00 -1.95440280e-04 -3.90880560e-05 -2.27986000e-02 
 3.00000000e-01  3.00000000e-01  1.20000000e+00 -2.93146289e-04 -8.79438868e-05 -2.28457018e-02 
 4.00000000e-01  4.00000000e-01  1.20000000e+00 -3.90842537e-04 -1.56337015e-04 -2.28936568e-02 
 5.00000000e-01  5.00000000e-01  1.20000000e+00 -4.88528919e-04 -2.44264460e-04 -2.29421610e-02 
 6.00000000e-01  6.00000000e-01  1.20000000e+00 -5.86205330e-04 -3.51723198e-04 -2.29911159e-02 
 7.00000000e-01  7.00000000e-01  1.20000000e+00 -6.83871663e-04 -4.78710164e-04 -2.30404815e-02 
 8.00000000e-01  8.00000000e-01  1.20000000e+00 -7.81527808e-04 -6.25222246e-04 -2.30902404e-02 
 9.00000000e-01  9.00000000e-01  1.20000000e+00 -8.79173654e-04 -7.91256288e-04 -2.31403846e-02 
 1.00000000e+00  1.00000000e+00  1.20000000e+00 -9.76809089e-04 -9.76809089e-04 -2.31909113e-02 
 1.10000000e+00  1.10000000e+00  1.20000000e+00 -1.07443400e-03 -1.18187740e-03 -2.32418205e-02 
 1.20000000e+00  1.20000000e+00  1.20000000e+00 -1.17204826e-03 -1.40645792e-03 -2.32931139e-02 
