 time            time            v(gate_rc)      id             
 8.41659023e-12  8.41659023e-12  1.13886437e+00  2.41598025e-03 
 8.49936091e-12  8.49936091e-12  1.14060471e+00  2.42168918e-03 
 8.58291904e-12  8.58291904e-12  1.14231129e+00  2.42728331e-03 
 8.66727975e-12  8.66727975e-12  1.14398445e+00  2.43276401e-03 
 8.75245866e-12  8.75245866e-12  1.14562455e+00  2.43813260e-03 
 8.83847182e-12  8.83847182e-12  1.14723192e+00  2.44339043e-03 
 8.92533576e-12  8.92533576e-12  1.14880692e+00  2.44853883e-03 
 9.01306748e-12  9.01306748e-12  1.15034987e+00  2.45357911e-03 
 9.10168450e-12  9.10168450e-12  1.15186113e+00  2.45851260e-03 
 9.19120486e-12  9.19120486e-12  1.15334104e+00  2.46334059e-03 
 9.28164715e-12  9.28164715e-12  1.15478993e+00  2.46806438e-03 
 9.37303054e-12  9.37303054e-12  1.15620815e+00  2.47268526e-03 
 9.46537478e-12  9.46537478e-12  1.15759604e+00  2.47720452e-03 
 9.55870026e-12  9.55870026e-12  1.15895394e+00  2.48162343e-03 
 9.65302799e-12  9.65302799e-12  1.16028218e+00  2.48594326e-03 
 9.74837968e-12  9.74837968e-12  1.16158111e+00  2.49016528e-03 
 9.84477773e-12  9.84477773e-12  1.16285106e+00  2.49429073e-03 
 9.94224527e-12  9.94224527e-12  1.16409237e+00  2.49832088e-03 
 1.00408062e-11  1.00408062e-11  1.16530538e+00  2.50225696e-03 
 1.01404853e-11  1.01404853e-11  1.16649043e+00  2.50610020e-03 
 1.02413080e-11  1.02413080e-11  1.16764784e+00  2.50985185e-03 
 1.03433007e-11  1.03433007e-11  1.16877797e+00  2.51351312e-03 
 1.04464909e-11  1.04464909e-11  1.16988114e+00  2.51708523e-03 
 1.05509068e-11  1.05509068e-11  1.17095769e+00  2.52056939e-03 
 1.06565777e-11  1.06565777e-11  1.17200795e+00  2.52396682e-03 
 1.07635339e-11  1.07635339e-11  1.17303226e+00  2.52727871e-03 
 1.08718069e-11  1.08718069e-11  1.17403096e+00  2.53050625e-03 
 1.09814294e-11  1.09814294e-11  1.17500437e+00  2.53365065e-03 
 1.10924351e-11  1.10924351e-11  1.17595283e+00  2.53671307e-03 
 1.12048591e-11  1.12048591e-11  1.17687668e+00  2.53969471e-03 
 1.13187379e-11  1.13187379e-11  1.17777624e+00  2.54259673e-03 
 1.14341094e-11  1.14341094e-11  1.17865185e+00  2.54542031e-03 
 1.15510129e-11  1.15510129e-11  1.17950385e+00  2.54816661e-03 
 1.16694892e-11  1.16694892e-11  1.18033256e+00  2.55083680e-03 
 1.17895809e-11  1.17895809e-11  1.18113832e+00  2.55343201e-03 
 1.19113324e-11  1.19113324e-11  1.18192146e+00  2.55595341e-03 
 1.20347896e-11  1.20347896e-11  1.18268230e+00  2.55840214e-03 
 1.21600006e-11  1.21600006e-11  1.18342119e+00  2.56077935e-03 
 1.22870156e-11  1.22870156e-11  1.18413845e+00  2.56308616e-03 
 1.24158866e-11  1.24158866e-11  1.18483441e+00  2.56532372e-03 
 1.25466683e-11  1.25466683e-11  1.18550941e+00  2.56749315e-03 
 1.26794175e-11  1.26794175e-11  1.18616376e+00  2.56959557e-03 
 1.28141937e-11  1.28141937e-11  1.18679781e+00  2.57163211e-03 
 1.29510591e-11  1.29510591e-11  1.18741188e+00  2.57360388e-03 
 1.30900787e-11  1.30900787e-11  1.18800630e+00  2.57551200e-03 
 1.32313208e-11  1.32313208e-11  1.18858140e+00  2.57735757e-03 
 1.33748566e-11  1.33748566e-11  1.18913750e+00  2.57914171e-03 
 1.35207611e-11  1.35207611e-11  1.18967495e+00  2.58086550e-03 
 1.36691126e-11  1.36691126e-11  1.19019406e+00  2.58253006e-03 
 1.38199937e-11  1.38199937e-11  1.19069516e+00  2.58413648e-03 
 1.39734911e-11  1.39734911e-11  1.19117858e+00  2.58568584e-03 
 1.41296958e-11  1.41296958e-11  1.19164465e+00  2.58717924e-03 
 1.42887038e-11  1.42887038e-11  1.19209369e+00  2.58861776e-03 
 1.44506161e-11  1.44506161e-11  1.19252604e+00  2.59000248e-03 
 1.46155394e-11  1.46155394e-11  1.19294201e+00  2.59133449e-03 
 1.47835861e-11  1.47835861e-11  1.19334194e+00  2.59261486e-03 
 1.49548750e-11  1.49548750e-11  1.19372614e+00  2.59384466e-03 
 1.51295319e-11  1.51295319e-11  1.19409495e+00  2.59502496e-03 
 1.53076899e-11  1.53076899e-11  1.19444870e+00  2.59615683e-03 
 1.54894898e-11  1.54894898e-11  1.19478769e+00  2.59724134e-03 
 1.56750813e-11  1.56750813e-11  1.19511227e+00  2.59827955e-03 
 1.58646233e-11  1.58646233e-11  1.19542275e+00  2.59927251e-03 
 1.60582848e-11  1.60582848e-11  1.19571946e+00  2.60022129e-03 
 1.62562458e-11  1.62562458e-11  1.19600273e+00  2.60112693e-03 
 1.64586980e-11  1.64586980e-11  1.19627287e+00  2.60199049e-03 
 1.66658463e-11  1.66658463e-11  1.19653020e+00  2.60281302e-03 
 1.68779096e-11  1.68779096e-11  1.19677506e+00  2.60359557e-03 
 1.70951225e-11  1.70951225e-11  1.19700776e+00  2.60433917e-03 
 1.73177362e-11  1.73177362e-11  1.19722863e+00  2.60504487e-03 
 1.75460209e-11  1.75460209e-11  1.19743798e+00  2.60571372e-03 
 1.77802670e-11  1.77802670e-11  1.19763614e+00  2.60634673e-03 
 1.80207876e-11  1.80207876e-11  1.19782342e+00  2.60694496e-03 
 1.82679209e-11  1.82679209e-11  1.19800016e+00  2.60750943e-03 
 1.85220325e-11  1.85220325e-11  1.19816666e+00  2.60804117e-03 
 1.87835189e-11  1.87835189e-11  1.19832324e+00  2.60854120e-03 
 1.90528109e-11  1.90528109e-11  1.19847023e+00  2.60901056e-03 
 1.93303774e-11  1.93303774e-11  1.19860794e+00  2.60945025e-03 
 1.96167304e-11  1.96167304e-11  1.19873669e+00  2.60986131e-03 
 1.99124297e-11  1.99124297e-11  1.19885680e+00  2.61024474e-03 
 2.02180900e-11  2.02180900e-11  1.19896857e+00  2.61060156e-03 
 2.05343870e-11  2.05343870e-11  1.19907233e+00  2.61093278e-03 
 2.08620668e-11  2.08620668e-11  1.19916839e+00  2.61123940e-03 
 2.12019550e-11  2.12019550e-11  1.19925707e+00  2.61152243e-03 
 2.15549686e-11  2.15549686e-11  1.19933867e+00  2.61178287e-03 
 2.19221301e-11  2.19221301e-11  1.19941350e+00  2.61202172e-03 
 2.23045834e-11  2.23045834e-11  1.19948189e+00  2.61223996e-03 
 2.27036141e-11  2.27036141e-11  1.19954413e+00  2.61243859e-03 
 2.31206732e-11  2.31206732e-11  1.19960054e+00  2.61261860e-03 
 2.35574064e-11  2.35574064e-11  1.19965141e+00  2.61278095e-03 
 2.40156898e-11  2.40156898e-11  1.19969707e+00  2.61292664e-03 
 2.44976742e-11  2.44976742e-11  1.19973780e+00  2.61305661e-03 
 2.50058402e-11  2.50058402e-11  1.19977391e+00  2.61317185e-03 
 2.55430686e-11  2.55430686e-11  1.19980571e+00  2.61327331e-03 
 2.61127284e-11  2.61127284e-11  1.19983348e+00  2.61336193e-03 
 2.67187919e-11  2.67187919e-11  1.19985753e+00  2.61343866e-03 
 2.73659839e-11  2.73659839e-11  1.19987814e+00  2.61350444e-03 
 2.80599798e-11  2.80599798e-11  1.19989561e+00  2.61356018e-03 
 2.88076715e-11  2.88076715e-11  1.19991022e+00  2.61360679e-03 
 2.96175317e-11  2.96175317e-11  1.19992226e+00  2.61364518e-03 
 3.05001217e-11  3.05001217e-11  1.19993199e+00  2.61367623e-03 
 3.14688152e-11  3.14688152e-11  1.19993969e+00  2.61370080e-03 
 3.24688152e-11  3.24688152e-11  1.19994528e+00  2.61371863e-03 
 3.34688152e-11  3.34688152e-11  1.19994916e+00  2.61373103e-03 
 3.44688152e-11  3.44688152e-11  1.19995186e+00  2.61373962e-03 
 3.54688152e-11  3.54688152e-11  1.19995372e+00  2.61374556e-03 
 3.64688152e-11  3.64688152e-11  1.19995500e+00  2.61374967e-03 
 3.74688152e-11  3.74688152e-11  1.19995589e+00  2.61375250e-03 
 3.84688152e-11  3.84688152e-11  1.19995650e+00  2.61375445e-03 
 3.94688152e-11  3.94688152e-11  1.19995692e+00  2.61375580e-03 
 4.04688152e-11  4.04688152e-11  1.19995722e+00  2.61375673e-03 
 4.14688152e-11  4.14688152e-11  1.19995742e+00  2.61375737e-03 
 4.24688152e-11  4.24688152e-11  1.19995756e+00  2.61375781e-03 
 4.34688152e-11  4.34688152e-11  1.19995765e+00  2.61375812e-03 
