 time            time            v(in_delay)     v(mid1_delay)   v(mid2_delay)   v(out_delay)   
 1.99673597e-11  1.99673597e-11  2.39608316e-01  1.19980533e+00 -5.93887722e-05  1.19997360e+00 
 2.00094420e-11  2.00094420e-11  2.40113304e-01  1.19977501e+00 -6.01065811e-05  1.19997361e+00 
 2.00582572e-11  2.00582572e-11  2.40699086e-01  1.19973898e+00 -6.09826680e-05  1.19997363e+00 
 2.01096968e-11  2.01096968e-11  2.41316361e-01  1.19970006e+00 -6.19643976e-05  1.19997364e+00 
 2.01691450e-11  2.01691450e-11  2.42029740e-01  1.19965397e+00 -6.31809153e-05  1.19997366e+00 
 2.02333604e-11  2.02333604e-11  2.42800325e-01  1.19960291e+00 -6.45979258e-05  1.19997367e+00 
 2.03016636e-11  2.03016636e-11  2.43619963e-01  1.19954727e+00 -6.62231797e-05  1.19997368e+00 
 2.03746754e-11  2.03746754e-11  2.44496105e-01  1.19948637e+00 -6.80918585e-05  1.19997369e+00 
 2.04524278e-11  2.04524278e-11  2.45429133e-01  1.19941999e+00 -7.02240267e-05  1.19997369e+00 
 2.05362603e-11  2.05362603e-11  2.46435124e-01  1.19934676e+00 -7.26759864e-05  1.19997367e+00 
 2.06266727e-11  2.06266727e-11  2.47520072e-01  1.19926594e+00 -7.54831175e-05  1.19997364e+00 
 2.07253004e-11  2.07253004e-11  2.48703605e-01  1.19917570e+00 -7.87182769e-05  1.19997359e+00 
 2.08332389e-11  2.08332389e-11  2.49998866e-01  1.19907454e+00 -8.24416749e-05  1.19997353e+00 
 2.09528537e-11  2.09528537e-11  2.51434244e-01  1.19895960e+00 -8.67621849e-05  1.19997343e+00 
 2.10865839e-11  2.10865839e-11  2.53039007e-01  1.19882764e+00 -9.18002941e-05  1.19997330e+00 
 2.12389507e-11  2.12389507e-11  2.54867408e-01  1.19867292e+00 -9.77671854e-05  1.19997314e+00 
 2.14160851e-11  2.14160851e-11  2.56993021e-01  1.19848725e+00 -1.04958667e-04  1.19997292e+00 
 2.15796839e-11  2.15796839e-11  2.58956206e-01  1.19831025e+00 -1.11808408e-04  1.19997271e+00 
