 time            time            v(in_inv)       v(out_inv)      i(Vdd_inv)     
 1.78223354e-11  1.78223354e-11  2.13868024e-01  1.20104442e+00  2.37167449e-04 
 1.78755932e-11  1.78755932e-11  2.14507118e-01  1.20101222e+00  2.35246831e-04 
 1.79062086e-11  1.79062086e-11  2.14874503e-01  1.20099354e+00  2.34133379e-04 
 1.79375385e-11  1.79375385e-11  2.15250462e-01  1.20097430e+00  2.32986822e-04 
 1.79682712e-11  1.79682712e-11  2.15619254e-01  1.20095530e+00  2.31855105e-04 
 1.80010979e-11  1.80010979e-11  2.16013175e-01  1.20093487e+00  2.30638573e-04 
 1.80667513e-11  1.80667513e-11  2.16801016e-01  1.20089357e+00  2.28181499e-04 
 1.81476549e-11  1.81476549e-11  2.17771858e-01  1.20084187e+00  2.25109387e-04 
 1.82668408e-11  1.82668408e-11  2.19202090e-01  1.20076409e+00  2.20493564e-04 
 1.84215493e-11  1.84215493e-11  2.21058591e-01  1.20066020e+00  2.14339885e-04 
 1.85983380e-11  1.85983380e-11  2.23180057e-01  1.20053733e+00  2.07079959e-04 
 1.87961583e-11  1.87961583e-11  2.25553899e-01  1.20039449e+00  1.98662487e-04 
 1.89788142e-11  1.89788142e-11  2.27745770e-01  1.20025747e+00  1.90609380e-04 
 1.91688185e-11  1.91688185e-11  2.30025822e-01  1.20010958e+00  1.81940293e-04 
 1.91873166e-11  1.91873166e-11  2.30247800e-01  1.20009488e+00  1.81080478e-04 
 1.92243129e-11  1.92243129e-11  2.30691755e-01  1.20006534e+00  1.79351853e-04 
 1.92983054e-11  1.92983054e-11  2.31579665e-01  1.20000562e+00  1.75859779e-04 
 1.93036484e-11  1.93036484e-11  2.31643781e-01  1.20000127e+00  1.75605839e-04 
 1.93080859e-11  1.93080859e-11  2.31697030e-01  1.19999812e+00  1.74927381e-04 
 1.93127292e-11  1.93127292e-11  2.31752751e-01  1.19999543e+00  1.74171625e-04 
 1.93172096e-11  1.93172096e-11  2.31806515e-01  1.19999316e+00  1.73683504e-04 
 1.93213573e-11  1.93213573e-11  2.31856288e-01  1.19999116e+00  1.73343422e-04 
 1.93258016e-11  1.93258016e-11  2.31909619e-01  1.19998902e+00  1.73032513e-04 
 1.93312298e-11  1.93312298e-11  2.31974758e-01  1.19998635e+00  1.72684836e-04 
 1.93387359e-11  1.93387359e-11  2.32064831e-01  1.19998252e+00  1.72233097e-04 
 1.93505512e-11  1.93505512e-11  2.32206615e-01  1.19997626e+00  1.71564902e-04 
 1.93663506e-11  1.93663506e-11  2.32396207e-01  1.19996759e+00  1.70724831e-04 
 1.93857596e-11  1.93857596e-11  2.32629115e-01  1.19995658e+00  1.69739580e-04 
 1.94090722e-11  1.94090722e-11  2.32908867e-01  1.19994300e+00  1.68586295e-04 
 1.94393066e-11  1.94393066e-11  2.33271679e-01  1.19992491e+00  1.67104253e-04 
 1.94720154e-11  1.94720154e-11  2.33664184e-01  1.19990480e+00  1.65500118e-04 
 1.95045607e-11  1.95045607e-11  2.34054728e-01  1.19988427e+00  1.63896612e-04 
 1.95396673e-11  1.95396673e-11  2.34476007e-01  1.19986156e+00  1.62156635e-04 
 1.95758372e-11  1.95758372e-11  2.34910047e-01  1.19983758e+00  1.60352502e-04 
 1.96159096e-11  1.96159096e-11  2.35390915e-01  1.19981033e+00  1.58340085e-04 
 1.96419617e-11  1.96419617e-11  2.35703540e-01  1.19979224e+00  1.57024033e-04 
 1.96464784e-11  1.96464784e-11  2.35757741e-01  1.19978907e+00  1.56795249e-04 
 1.96555119e-11  1.96555119e-11  2.35866143e-01  1.19978272e+00  1.56337112e-04 
 1.96578633e-11  1.96578633e-11  2.35894360e-01  1.19978106e+00  1.56217734e-04 
 1.96601406e-11  1.96601406e-11  2.35921687e-01  1.19977945e+00  1.56102077e-04 
 1.96631365e-11  1.96631365e-11  2.35957638e-01  1.19977733e+00  1.55949844e-04 
 1.96656253e-11  1.96656253e-11  2.35987503e-01  1.19977556e+00  1.55823318e-04 
 1.96688786e-11  1.96688786e-11  2.36026543e-01  1.19977325e+00  1.55657841e-04 
 1.96724954e-11  1.96724954e-11  2.36069945e-01  1.19977068e+00  1.55473756e-04 
 1.96770610e-11  1.96770610e-11  2.36124732e-01  1.19976742e+00  1.55241211e-04 
 1.96828012e-11  1.96828012e-11  2.36193614e-01  1.19976332e+00  1.54948567e-04 
 1.96908477e-11  1.96908477e-11  2.36290172e-01  1.19975754e+00  1.54537827e-04 
 1.97023464e-11  1.97023464e-11  2.36428157e-01  1.19974924e+00  1.53949820e-04 
 1.97171257e-11  1.97171257e-11  2.36605508e-01  1.19973849e+00  1.53192245e-04 
 1.97354307e-11  1.97354307e-11  2.36825168e-01  1.19972506e+00  1.52251106e-04 
 1.97576923e-11  1.97576923e-11  2.37092307e-01  1.19970857e+00  1.51102296e-04 
 1.97868455e-11  1.97868455e-11  2.37442146e-01  1.19968668e+00  1.49590763e-04 
 1.98218181e-11  1.98218181e-11  2.37861817e-01  1.19966003e+00  1.47766865e-04 
 1.98537093e-11  1.98537093e-11  2.38244511e-01  1.19963535e+00  1.46093518e-04 
 1.98905573e-11  1.98905573e-11  2.38686688e-01  1.19960641e+00  1.44147978e-04 
 1.99260604e-11  1.99260604e-11  2.39112725e-01  1.19957810e+00  1.42261146e-04 
 1.99673597e-11  1.99673597e-11  2.39608316e-01  1.19954465e+00  1.40051025e-04 
 2.00094420e-11  2.00094420e-11  2.40113304e-01  1.19951004e+00  1.37782109e-04 
 2.00582572e-11  2.00582572e-11  2.40699086e-01  1.19946921e+00  1.35128778e-04 
 2.01096968e-11  2.01096968e-11  2.41316361e-01  1.19942544e+00  1.32307882e-04 
 2.01691450e-11  2.01691450e-11  2.42029740e-01  1.19937394e+00  1.29015894e-04 
 2.02333604e-11  2.02333604e-11  2.42800325e-01  1.19931723e+00  1.25421440e-04 
 2.03016636e-11  2.03016636e-11  2.43619963e-01  1.19925572e+00  1.21554241e-04 
 2.03746754e-11  2.03746754e-11  2.44496105e-01  1.19918868e+00  1.17370300e-04 
 2.04524278e-11  2.04524278e-11  2.45429133e-01  1.19911584e+00  1.12857634e-04 
 2.05362603e-11  2.05362603e-11  2.46435124e-01  1.19903570e+00  1.07926017e-04 
 2.06266727e-11  2.06266727e-11  2.47520072e-01  1.19894745e+00  1.02530338e-04 
 2.07253004e-11  2.07253004e-11  2.48703605e-01  1.19884908e+00  9.65530457e-05 
 2.08332389e-11  2.08332389e-11  2.49998866e-01  1.19873897e+00  8.99019584e-05 
 2.09528537e-11  2.09528537e-11  2.51434244e-01  1.19861401e+00  8.23972319e-05 
 2.10865839e-11  2.10865839e-11  2.53039007e-01  1.19847069e+00  7.38392660e-05 
 2.12389507e-11  2.12389507e-11  2.54867408e-01  1.19830283e+00  6.38719687e-05 
 2.14160851e-11  2.14160851e-11  2.56993021e-01  1.19810160e+00  5.19926887e-05 
 2.15796839e-11  2.15796839e-11  2.58956206e-01  1.19790996e+00  4.07410226e-05 
 2.17553720e-11  2.17553720e-11  2.61064464e-01  1.19769796e+00  2.83563078e-05 
 2.19191609e-11  2.19191609e-11  2.63029931e-01  1.19749451e+00  1.65274642e-05 
 2.20913692e-11  2.20913692e-11  2.65096431e-01  1.19727454e+00  3.79426637e-06 
 2.22564286e-11  2.22564286e-11  2.67077143e-01  1.19705780e+00 -8.69696746e-06 
 2.24281796e-11  2.24281796e-11  2.69138155e-01  1.19682611e+00 -2.19941613e-05 
 2.25959192e-11  2.25959192e-11  2.71151031e-01  1.19659369e+00 -3.52771125e-05 
 2.27690958e-11  2.27690958e-11  2.73229150e-01  1.19634731e+00 -4.92993201e-05 
 2.29404061e-11  2.29404061e-11  2.75284873e-01  1.19609709e+00 -6.34802798e-05 
 2.31165115e-11  2.31165115e-11  2.77398137e-01  1.19583307e+00 -7.83807116e-05 
 2.32923149e-11  2.32923149e-11  2.79507778e-01  1.19556254e+00 -9.35828133e-05 
 2.34723905e-11  2.34723905e-11  2.81668687e-01  1.19527816e+00 -1.09494303e-04 
 2.36537844e-11  2.36537844e-11  2.83845413e-01  1.19498417e+00 -1.25870903e-04 
 2.38400146e-11  2.38400146e-11  2.86080176e-01  1.19467438e+00 -1.43048847e-04 
 2.40294988e-11  2.40294988e-11  2.88353986e-01  1.19435083e+00 -1.60906640e-04 
 2.42252717e-11  2.42252717e-11  2.90703260e-01  1.19400760e+00 -1.79759638e-04 
 2.44269002e-11  2.44269002e-11  2.93122803e-01  1.19364451e+00 -1.99604140e-04 
 2.46375995e-11  2.46375995e-11  2.95651193e-01  1.19325455e+00 -2.20804647e-04 
 2.48585789e-11  2.48585789e-11  2.98302947e-01  1.19283390e+00 -2.43547358e-04 
 2.50948029e-11  2.50948029e-11  3.01137635e-01  1.19237087e+00 -2.68432420e-04 
 2.53519518e-11  2.53519518e-11  3.04223422e-01  1.19185095e+00 -2.96192769e-04 
 2.56089694e-11  2.56089694e-11  3.07307632e-01  1.19131460e+00 -3.24634005e-04 
 2.58740948e-11  2.58740948e-11  3.10489137e-01  1.19074365e+00 -3.54695677e-04 
 2.61393512e-11  2.61393512e-11  3.13672215e-01  1.19015427e+00 -3.85501188e-04 
 2.64111723e-11  2.64111723e-11  3.16934068e-01  1.18953127e+00 -4.17818194e-04 
